	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
613	23	3.0	1.0	1	2.0	4.0	4.0	2.0
614	23	3.0	3.0	0	2.0	4.0	2.0	3.0
617	23	3.0	1.0	1	2.0	4.0	4.0	3.0
618	23	3.0	3.0	0	2.0	4.0	2.0	3.0
619	23	3.0	1.0	2	2.0	4.0	2.0	4.0
620	23	3.0	3.0	0	2.0	4.0	4.0	1.0
621	23	3.0	3.0	0	2.0	4.0	2.0	4.0
625	23	3.0	1.0	1	4.0	4.0	2.0	4.0
626	23	1.0	1.0	1	2.0	4.0	2.0	4.0
628	23	3.0	3.0	0	2.0	4.0	4.0	3.0
629	23	3.0	1.0	1	2.0	4.0	2.0	4.0
631	23	3.0	3.0	0	2.0	4.0	4.0	2.0
632	23	3.0	3.0	1	2.0	4.0	4.0	4.0
635	23	3.0	3.0	1	4.0	4.0	2.0	3.0
636	23	3.0	3.0	1	4.0	4.0	2.0	4.0
637	23	3.0	3.0	0	4.0	4.0	2.0	3.0
638	23	3.0	3.0	1	4.0	4.0	2.0	4.0
639	23	3.0	3.0	1	4.0	4.0	2.0	2.0
640	23	3.0	3.0	0	4.0	4.0	2.0	3.0
642	23	3.0	3.0	1	2.0	4.0	4.0	4.0
643	23	3.0	1.0	0	2.0	4.0	2.0	4.0
646	23	3.0	3.0	1	4.0	4.0	2.0	4.0
647	23	3.0	3.0	0	2.0	4.0	4.0	4.0
648	23	3.0	3.0	1	4.0	4.0	2.0	3.0
672	23	3.0	1.0	0	2.0	2.0	4.0	6.0
674	23	3.0	1.0	1	2.0	2.0	4.0	3.0
675	23	3.0	1.0	0	2.0	2.0	4.0	2.0
676	23	3.0	1.0	1	2.0	2.0	4.0	3.0
678	23	1.0	1.0	2	2.0	2.0	4.0	6.0
681	23	3.0	1.0	1	2.0	2.0	4.0	6.0
683	23	3.0	1.0	1	4.0	2.0	4.0	1.0
685	23	3.0	1.0	0	2.0	4.0	4.0	4.0
686	23	3.0	1.0	1	4.0	4.0	2.0	3.0
689	23	3.0	1.0	0	4.0	2.0	4.0	4.0
690	23	3.0	1.0	1	4.0	4.0	2.0	3.0
691	23	3.0	3.0	1	4.0	4.0	2.0	5.0
693	23	3.0	3.0	0	2.0	4.0	2.0	4.0
694	23	3.0	1.0	1	2.0	4.0	2.0	4.0
696	23	3.0	3.0	0	4.0	4.0	2.0	2.0
701	23	3.0	1.0	2	4.0	4.0	2.0	3.0
703	23	1.0	1.0	1	2.0	4.0	2.0	4.0
705	23	3.0	1.0	2	2.0	4.0	2.0	4.0
709	23	1.0	1.0	1	4.0	4.0	2.0	4.0
710	23	1.0	3.0	1	2.0	4.0	2.0	4.0
711	23	3.0	1.0	1	2.0	4.0	2.0	7.0
715	23	3.0	3.0	0	2.0	4.0	4.0	4.0
717	23	1.0	1.0	0	4.0	4.0	2.0	4.0
718	23	3.0	1.0	2	4.0	4.0	2.0	6.0
720	23	3.0	1.0	1	4.0	4.0	2.0	0.0
721	23	3.0	3.0	0	4.0	4.0	2.0	3.0
722	23	1.0	1.0	1	2.0	4.0	2.0	4.0
724	23	1.0	3.0	2	4.0	4.0	2.0	7.0
726	23	1.0	1.0	1	4.0	4.0	2.0	7.0
